,Coin,Price,Change 24H,Vol. 24H,Open Interest,OI Change 24H,OI Share,OI / VOL24H,Funding (avg),Pred. Funding (avg),Liqs. 24H
171,Quant-QNT,$101.18,+4.42%,$3.5m,$57.0k,+8.35%,0.00%,0.02,+0.0100%,+0.0100%,$0.0
172,Huobi Token-HT,$4.73,+0.60%,$3.2m,$4.0m,-8.32%,0.02%,1.26,+0.0044%,+0.0043%,$36.1
173,Blockstack-STX,$0.3601,+3.10%,$3.0m,$1.2m,+21.68%,0.01%,0.41,+0.0019%,+0.0028%,$6.0k
174,Dora Factory-DORA,$2.93,+7.72%,$2.8m,$327.0k,+25.99%,0.00%,0.12,+0.1521%,-0.0570%,$161.5
175,Siacoin-SC,$0.0040,+3.04%,$2.5m,$930.8k,+2.14%,0.00%,0.37,+0.0116%,+0.0069%,$614.2
176,Moonbeam-GLMR,$0.4933,-0.94%,$2.4m,$2.4m,-0.08%,0.01%,1.01,-0.0823%,-0.0744%,$0.0
177,Shitcoin Index FTX-SHIT,"$2,490.00",+1.56%,$2.3m,$12.2m,-1.31%,0.05%,5.20,+0.0062%,+0.0059%,$0.0
178,Wrapped NXM-WNXM,$16.02,+1.20%,$2.2m,$423.2k,+9.99%,0.00%,0.19,-0.0460%,+0.0019%,$6.0k
179,UMA-UMA,$2.82,+2.42%,$2.1m,$868.1k,+6.87%,0.00%,0.41,+0.1545%,-0.1051%,$514.6
180,Smooth Love Potion-SLP,$0.0038,-0.44%,$2.1m,$4.0m,-0.34%,0.02%,1.91,-0.0174%,-0.0042%,$1.7k
181,Tribe-TRIBE,$0.2474,-3.71%,$1.9m,$66.6k,-4.51%,0.00%,0.03,+0.0100%,-0.3013%,$0.0
182,Gods Unchained-GODS,$0.3228,-2.09%,$1.9m,$452.2k,+4.64%,0.00%,0.24,-0.0253%,+0.0033%,$2.1k
183,Chain-XCN,$0.0658,-3.68%,$1.9m,$881.6k,-21.59%,0.00%,0.47,-0.0194%,+0.0100%,$1.3k
184,NYM-NYM,$0.3208,-0.81%,$1.8m,$763.8k,+0.79%,0.00%,0.42,+0.0151%,-0.0162%,$1.2k
185,Akropolis -AKRO,$0.0035,+0.43%,$1.8m,$300.8k,+8.59%,0.00%,0.17,+0.0100%,+0.0100%,$3.6k
186,Conflux Network-CFX,$0.0516,-0.65%,$1.8m,$1.1m,+0.93%,0.00%,0.61,+0.0598%,-0.0408%,$717.9
187,Everdome-DOME,$0.0016,+8.72%,$1.6m,$884.5k,+38.98%,0.00%,0.55,+0.1221%,-0.0268%,$3.8k
188,Secret-SCRT,$1.08,+0.09%,$1.5m,$865.8k,+4.01%,0.00%,0.59,-0.0357%,-0.0346%,$2.4k
189,Cream Finance-CREAM,$17.15,+3.42%,$1.4m,$1.1m,+12.19%,0.00%,0.78,+0.0320%,+0.0317%,$5.0k
190,Boba Network-BOBA,$0.3068,-2.95%,$1.3m,$854.2k,+3.57%,0.00%,0.65,+0.0009%,+0.0022%,$211.5
191,DeFi FTX-DEFI,"$2,850.30",+1.23%,$1.3m,$3.6m,-0.19%,0.02%,2.74,-0.0033%,-0.0028%,$0.0
192,Alchemy Pay-ACH,$0.0135,+3.23%,$1.2m,$351.3k,-7.11%,0.00%,0.29,+0.0206%,+0.0206%,$0.0
193,PancakeSwap-CAKE,$4.07,-1.13%,$1.1m,$3.1m,-0.88%,0.01%,2.78,-0.0024%,-0.0030%,$0.0
194,Chia Network-XCH,$35.68,+0.42%,$1.1m,$1.0m,+5.38%,0.00%,0.95,+0.0339%,+0.0090%,$0.0
195,Dogelon Mars-ELON,$0.0000,-3.80%,$1.0m,$417.1k,+2.16%,0.00%,0.41,+0.0032%,-0.0201%,$198.9
196,DODO-DODO,$0.1258,+0.27%,$1.0m,$1.1m,-0.31%,0.00%,1.09,+0.0021%,-0.0013%,$106.6
197,Biconomy-BICO,$0.5059,-0.33%,$1.0m,$862.6k,-1.43%,0.00%,0.86,-0.0110%,+0.0123%,$948.3
198,BitShares-BTS,$0.0102,+6.02%,$1.0m,$86.5k,+21.24%,0.00%,0.09,-0.1482%,-0.0763%,$0.0
199,Pundi X-PUNDIX,$0.5065,+2.56%,$981.5k,$974.4k,+2.61%,0.00%,0.99,-0.0258%,-0.0270%,$850.2
200,Midcap Index FTX-MID,"$1,363.10",+2.70%,$965.3k,$4.9m,-0.28%,0.02%,5.03,+0.0023%,+0.0026%,$0.0
201,Baby Doge Coin-BABYDOGE,$0.0000,-2.54%,$953.2k,$1.4m,+3.70%,0.01%,1.46,+0.0106%,-0.0006%,$2.1k
202,Verasity-VRA,$0.0045,-1.76%,$891.7k,$15.4k,-14.57%,0.00%,0.02,+0.0100%,+0.0100%,$7.0
203,WAX-WAXP,$0.0956,+5.26%,$883.0k,$203.7k,+7.33%,0.00%,0.23,+0.0100%,+0.0100%,$0.0
204,PAX Gold-PAXG,"$1,715.53",-0.82%,$860.2k,$5.8m,-0.82%,0.02%,6.76,+0.0066%,+0.0053%,$0.0
205,Casper-CSPR,$0.0265,-0.23%,$842.0k,$401.3k,-6.54%,0.00%,0.48,-0.0189%,-0.0008%,$0.0
206,Exchange Token Index FTX-EXCH,"$6,771.50",+1.73%,$835.8k,$4.3m,+1.63%,0.02%,5.10,+0.0028%,+0.0028%,$0.0
207,TrueFi-TRU,$0.0642,-1.38%,$652.0k,$2.9m,-0.89%,0.01%,4.47,+0.0043%,+0.0075%,$0.1
208,Dawn Protocol-DAWN,$0.8523,+3.18%,$626.8k,$123.5k,+3.85%,0.00%,0.20,-0.0190%,-0.0279%,$0.0
209,BitTorrent-BTT,$0.0000,+0.56%,$606.7k,$599.1k,-1.59%,0.00%,0.99,-0.0167%,-0.0343%,$303.7
210,CEEK VR-CEEK,n/a,n/a,$531.3k,$366.5k,+13.11%,0.00%,0.69,+0.0100%,+0.0100%,$0.3
211,Alien Worlds-TLM,$0.0240,-0.19%,$527.7k,$1.2m,+1.08%,0.00%,2.22,+0.0049%,+0.0025%,$0.0
212,Clover Finance-CLV,$0.0929,-0.65%,$514.6k,$529.0k,+1.94%,0.00%,1.03,-0.0229%,+0.0063%,$381.3
213,Prometeus-PROM,$5.97,+3.45%,$489.4k,$630.2k,+6.85%,0.00%,1.29,-0.0326%,-0.0301%,$0.0
214,Green Satoshi Token-GST,$0.0329,-2.03%,$444.9k,$3.6m,-1.00%,0.02%,8.20,-0.0057%,-0.0027%,$2.4k
