,Coin,Price,Change 24H,Vol. 24H,Open Interest,OI Change 24H,OI Share,OI / VOL24H,Funding (avg),Pred. Funding (avg),Liqs. 24H,date_time
80,VeChain-VET,$0.0241,+1.10%,$33.7m,$16.2m,+2.45%,0.07%,0.48,+0.0078%,+0.0062%,$13.6k,2022-09-08 21:48:25.112119
81,Dent-DENT,$0.0010,-0.75%,$33.1m,$5.3m,-10.82%,0.02%,0.16,+0.0060%,+0.0050%,$90.9k,2022-09-08 21:48:25.112119
82,The Graph-GRT,$0.1040,+0.23%,$32.8m,$21.2m,-0.79%,0.09%,0.65,+0.0038%,+0.0082%,$37.9k,2022-09-08 21:48:25.112119
83,Flamingo-FLM,$0.1133,+1.64%,$30.5m,$18.4m,+1.94%,0.08%,0.60,-0.0528%,-0.0530%,$6.8k,2022-09-08 21:48:25.112119
84,LUNA2-LUNA2,n/a,n/a,$30.4m,$3.1m,+4.04%,0.01%,0.10,+0.0100%,+0.0100%,$181.8k,2022-09-08 21:48:25.112119
85,Aragon-ANT,$1.81,-3.48%,$28.5m,$6.7m,+4.14%,0.03%,0.23,-0.0077%,+0.0175%,$48.8k,2022-09-08 21:48:25.112119
86,Bitcoin SV-BSV,$53.46,+4.52%,$28.3m,$33.6m,+3.75%,0.14%,1.19,-0.0015%,+0.0050%,$798.7,2022-09-08 21:48:25.112119
87,Kusama-KSM,$49.58,+2.70%,$28.3m,$15.9m,+3.30%,0.07%,0.56,+0.0110%,-0.0142%,$60.9k,2022-09-08 21:48:25.112119
88,Jasmy-JASMY,$0.0088,-0.80%,$28.1m,$11.4m,-0.90%,0.05%,0.41,+0.0014%,+0.0073%,$10.5k,2022-09-08 21:48:25.112119
89,Loopring-LRC,$0.3407,-0.31%,$27.8m,$12.9m,-1.55%,0.05%,0.47,+0.0005%,+0.0061%,$21.8k,2022-09-08 21:48:25.112119
90,Chromia-CHR,$0.1761,-0.60%,$26.5m,$8.9m,+1.22%,0.04%,0.34,+0.0074%,+0.0072%,$47.7k,2022-09-08 21:48:25.112119
91,NEM-XEM,$0.0438,+3.12%,$26.5m,$8.4m,-0.90%,0.04%,0.32,-0.0059%,+0.0154%,$3.5k,2022-09-08 21:48:25.112119
92,MyNeighborAlice-ALICE,$2.07,+1.16%,$26.5m,$9.9m,-2.13%,0.04%,0.37,+0.0081%,+0.0078%,$3.6k,2022-09-08 21:48:25.112119
93,Oasis Network-ROSE,$0.0601,-0.90%,$26.3m,$11.5m,-7.36%,0.05%,0.44,+0.0083%,+0.0079%,$7.0k,2022-09-08 21:48:25.112119
94,Dash-DASH,$46.15,+2.30%,$25.5m,$14.3m,+5.11%,0.06%,0.56,+0.0070%,+0.0003%,$29.1k,2022-09-08 21:48:25.112119
95,Storj-STORJ,$0.5242,+1.27%,$25.3m,$10.6m,+0.37%,0.04%,0.42,+0.0065%,+0.0042%,$8.2k,2022-09-08 21:48:25.112119
96,Qtum-QTUM,$3.14,+1.33%,$25.2m,$15.4m,+0.31%,0.07%,0.61,-0.0048%,+0.0071%,$10.2k,2022-09-08 21:48:25.112119
97,Audius-AUDIO,$0.2796,+0.02%,$25.0m,$7.5m,+2.18%,0.03%,0.30,+0.0008%,+0.0013%,$8.6k,2022-09-08 21:48:25.112119
98,OmiseGO-OMG,$1.84,+0.85%,$24.8m,$12.5m,-3.56%,0.05%,0.50,+0.0066%,+0.0067%,$5.6k,2022-09-08 21:48:25.112119
99,Reserve Rights-RSR,$0.0060,+0.85%,$24.2m,$13.1m,-0.18%,0.06%,0.54,+0.0015%,-0.0110%,$2.2k,2022-09-08 21:48:25.112119
100,Civic-CVC,$0.1388,+1.98%,$23.6m,$7.2m,+8.03%,0.03%,0.30,-0.0096%,-0.0184%,$17.4k,2022-09-08 21:48:25.112119
101,Litentry-LIT,$0.6815,-1.02%,$22.9m,$4.5m,-0.65%,0.02%,0.20,+0.0100%,+0.0100%,$6.8k,2022-09-08 21:48:25.112119
102,Coin98-C98,$0.3968,-1.52%,$22.3m,$12.6m,+3.07%,0.05%,0.56,+0.0014%,+0.0067%,$13.6k,2022-09-08 21:48:25.112119
103,Maker-MKR,$725.03,-2.33%,$21.9m,$15.6m,-2.68%,0.07%,0.71,+0.0073%,-0.0030%,$25.9k,2022-09-08 21:48:25.112119
104,Bluzelle-BLZ,$0.0858,-2.28%,$21.3m,$6.1m,+6.68%,0.03%,0.28,+0.0100%,+0.0100%,$44.1k,2022-09-08 21:48:25.112119
105,Basic Attention Token-BAT,$0.3284,+0.95%,$21.2m,$10.7m,-1.57%,0.05%,0.51,+0.0018%,+0.0054%,$40.6k,2022-09-08 21:48:25.112119
106,Tornado Cash-TORN,$9.34,+14.74%,$20.6m,$1.3m,+62.88%,0.01%,0.06,-0.3534%,+0.3655%,$70.1k,2022-09-08 21:48:25.112119
107,0x-ZRX,$0.2975,+4.74%,$20.5m,$8.4m,+5.24%,0.04%,0.41,+0.0018%,-0.0079%,$11.1k,2022-09-08 21:48:25.112119
108,Swipe-SXP,$0.3653,+1.89%,$20.4m,$7.6m,-1.16%,0.03%,0.37,+0.0076%,+0.0076%,$5.3k,2022-09-08 21:48:25.112119
109,1000XEC-1000XEC,$0.0418,+0.75%,$20.2m,$4.7m,-1.00%,0.02%,0.23,+0.0025%,+0.0058%,$10.2k,2022-09-08 21:48:25.112119
110,Ontology-ONT,$0.2368,+3.49%,$20.0m,$8.5m,+7.10%,0.04%,0.43,-0.0085%,-0.0234%,$3.3k,2022-09-08 21:48:25.112119
111,Iota-IOTA,$0.2780,+0.83%,$19.7m,$9.7m,+0.31%,0.04%,0.49,+0.0065%,+0.0221%,$3.9k,2022-09-08 21:48:25.112119
112,Bella Protocol-BEL,$0.6428,-0.56%,$19.6m,$3.8m,+19.53%,0.02%,0.20,+0.0100%,+0.0100%,$4.4k,2022-09-08 21:48:25.112119
113,Gitcoin-GTC,$2.23,-4.55%,$18.9m,$4.4m,-9.31%,0.02%,0.23,+0.0100%,+0.0100%,$45.1k,2022-09-08 21:48:25.112119
114,BitDAO-BIT,$0.6236,-1.61%,$18.9m,$25.2m,+0.96%,0.11%,1.33,+0.0062%,+0.0078%,$20.2k,2022-09-08 21:48:25.112119
115,FOOTBALL-FOOTBALL,"$1,086.96",-2.74%,$18.9m,$6.2m,+6.34%,0.03%,0.33,+0.1213%,+0.0568%,$26.7k,2022-09-08 21:48:25.112119
116,Immutable X-IMX,$0.8181,-1.19%,$18.5m,$8.9m,-4.81%,0.04%,0.48,+0.0062%,+0.0081%,$36.7k,2022-09-08 21:48:25.112119
117,Band Protocol-BAND,$1.28,+0.41%,$18.5m,$5.2m,+0.78%,0.02%,0.28,+0.0096%,-0.0072%,$29.3k,2022-09-08 21:48:25.112119
118,Coti-COTI,$0.0968,+1.57%,$18.0m,$5.3m,+7.20%,0.02%,0.29,+0.0650%,+0.0623%,$51.0k,2022-09-08 21:48:25.112119
119,API3-API3,$1.74,-3.70%,$18.0m,$5.3m,-14.46%,0.02%,0.29,-0.0132%,-0.0010%,$20.9k,2022-09-08 21:48:25.112119
120,Arweave-AR,$9.87,+1.82%,$17.8m,$11.7m,+2.30%,0.05%,0.66,+0.0075%,+0.0074%,$14.9k,2022-09-08 21:48:25.112119
121,Raydium-RAY,$0.6153,-0.75%,$17.8m,$7.4m,-1.08%,0.03%,0.42,-0.0060%,-0.0069%,$8.6k,2022-09-08 21:48:25.112119
