,Coin,Price,Change 24H,Vol. 24H,Open Interest,OI Change 24H,OI Share,OI / VOL24H,Funding (avg),Pred. Funding (avg),Liqs. 24H,date_time
155,Klaytn-KLAY,$0.2041,-2.11%,$6.2m,$4.6m,+2.19%,0.02%,0.74,+0.0100%,+0.0098%,$11.9k,2022-09-16 12:16:28.794092
156,Pundi X-PUNDIX,$0.5259,-11.62%,$5.8m,$1.5m,-25.49%,0.01%,0.26,-0.0284%,-0.0329%,$5.8k,2022-09-16 12:16:28.794092
157,Badger DAO-BADGER,$4.99,-1.55%,$5.5m,$2.5m,-0.01%,0.01%,0.45,-0.0265%,-0.0659%,$2.6k,2022-09-16 12:16:28.794092
158,Adventure Gold-AGLD,$0.3516,-3.97%,$5.2m,$2.1m,-13.40%,0.01%,0.41,+0.0079%,+0.0340%,$10.0k,2022-09-16 12:16:28.794092
159,SafePal-SFP,$0.3552,-1.78%,$5.1m,$4.3m,+1.50%,0.02%,0.84,+0.0100%,+0.0077%,$7.3k,2022-09-16 12:16:28.794092
160,Dusk Network-DUSK,$0.1216,-0.64%,$4.9m,$2.9m,+1.95%,0.01%,0.59,-0.0143%,-0.0247%,$2.3k,2022-09-16 12:16:28.794092
161,DigiByte-DGB,$0.0098,-2.61%,$4.7m,$3.5m,-1.35%,0.02%,0.73,-0.0058%,-0.0027%,$12.1k,2022-09-16 12:16:28.794092
162,TerraClassicUSD-USTC,$0.0324,-5.47%,$4.6m,$905.8k,-4.60%,0.00%,0.20,-0.0002%,+0.0039%,$3.6k,2022-09-16 12:16:28.794092
163,Altcoin Index FTX-ALT,"$1,863.90",-2.50%,$4.5m,$12.3m,-1.60%,0.05%,2.74,-0.0022%,-0.0019%,$0.0,2022-09-16 12:16:28.794092
164,Crypto.com Coin-CRO,$0.1075,-1.65%,$4.5m,$10.9m,-1.65%,0.05%,2.45,+0.0007%,-0.0115%,$9.7k,2022-09-16 12:16:28.794092
165,Yield Guild Games-YGG,$0.4194,-3.58%,$4.0m,$3.9m,-1.84%,0.02%,0.98,+0.0166%,+0.0205%,$5.0k,2022-09-16 12:16:28.794092
166,OKB-OKB,$15.30,-0.92%,$3.9m,$4.5m,+0.15%,0.02%,1.16,+0.0023%,+0.0019%,$32.8,2022-09-16 12:16:28.794092
167,Quant-QNT,$102.67,+2.79%,$3.8m,$55.3k,+4.65%,0.00%,0.01,+0.0100%,+0.0100%,$0.0,2022-09-16 12:16:28.794092
168,DeFi Binance-DEFI,$713.90,-1.18%,$3.7m,$1.7m,+5.65%,0.01%,0.46,-0.0206%,-0.0203%,$4.1k,2022-09-16 12:16:28.794092
169,Bancor-BNT,$0.4799,+0.56%,$3.6m,$1.9m,-1.52%,0.01%,0.52,+0.0469%,-0.0841%,$140.2,2022-09-16 12:16:28.794092
170,Dora Factory-DORA,$2.73,-9.41%,$3.2m,$320.9k,-16.07%,0.00%,0.10,+0.0488%,+0.0303%,$1.4k,2022-09-16 12:16:28.794092
171,PAX Gold-PAXG,"$1,675.83",-0.99%,$3.0m,$4.9m,-11.70%,0.02%,1.65,+0.0037%,+0.0047%,$28.0k,2022-09-16 12:16:28.794092
172,JUST-JST,$0.0260,-1.48%,$2.8m,$1.6m,-5.35%,0.01%,0.58,-0.0852%,-0.0847%,$0.0,2022-09-16 12:16:28.794092
173,Smooth Love Potion-SLP,$0.0036,-3.07%,$2.6m,$4.1m,-0.53%,0.02%,1.59,-0.0354%,+0.0092%,$8.0k,2022-09-16 12:16:28.794092
174,Casper-CSPR,$0.0297,-4.32%,$2.5m,$543.1k,-20.21%,0.00%,0.22,+0.0661%,-0.0390%,$3.2k,2022-09-16 12:16:28.794092
175,Mina-MINA,$0.6076,-2.22%,$2.5m,$2.6m,-0.79%,0.01%,1.05,-0.0061%,+0.0294%,$4.3k,2022-09-16 12:16:28.794092
176,Chain-XCN,$0.0658,-3.59%,$2.5m,$477.2k,-42.84%,0.00%,0.19,-0.1504%,-0.1504%,$325.0,2022-09-16 12:16:28.794092
177,APENFT-NFT,$0.0000,-1.89%,$2.4m,$352.3k,-10.38%,0.00%,0.15,-0.0055%,+0.0302%,$284.3,2022-09-16 12:16:28.794092
178,Shitcoin Index FTX-SHIT,"$2,464.70",-2.27%,$2.3m,$10.2m,-2.46%,0.05%,4.49,+0.0036%,+0.0055%,$0.0,2022-09-16 12:16:28.794092
179,Perpetual Protocol-PERP,$0.6090,-4.74%,$2.2m,$1.6m,-2.41%,0.01%,0.72,-0.0603%,-0.0327%,$5.5k,2022-09-16 12:16:28.794092
180,Convex Finance-CVX,$4.95,-0.51%,$2.2m,$2.6m,-1.77%,0.01%,1.21,-0.0527%,-0.0543%,$381.7,2022-09-16 12:16:28.794092
181,PancakeSwap-CAKE,$4.17,+2.13%,$2.2m,$3.5m,+8.16%,0.02%,1.63,-0.0041%,-0.0015%,$42.8,2022-09-16 12:16:28.794092
182,Tornado Cash-TORN,$8.08,-2.18%,$2.0m,$937.3k,+4.90%,0.00%,0.46,+0.0640%,+0.0749%,$1.9k,2022-09-16 12:16:28.794092
183,Bonfida-FIDA,$0.4399,-1.57%,$1.9m,$962.6k,-0.82%,0.00%,0.51,-0.0047%,-0.0061%,$6.9k,2022-09-16 12:16:28.794092
184,ASD-ASD,$0.1029,+1.10%,$1.8m,$2.0m,+1.85%,0.01%,1.09,+0.0002%,+0.0040%,$34.3k,2022-09-16 12:16:28.794092
