,Coin,Price,Change 24H,Vol. 24H,Open Interest,OI Change 24H,OI Share,OI / VOL24H,Funding (avg),Pred. Funding (avg),Liqs. 24H
194,Casper-CSPR,$0.0266,+3.22%,$1.1m,$430.3k,-13.91%,0.00%,0.38,-0.0339%,+0.0015%,$4.4k
195,Conflux Network-CFX,$0.0520,+2.02%,$1.1m,$1.1m,+6.02%,0.00%,0.95,-0.0302%,+0.0379%,$152.1
196,Secret-SCRT,$1.08,+2.22%,$1.1m,$825.1k,-4.35%,0.00%,0.77,+0.0063%,+0.0046%,$2.3k
197,Clover Finance-CLV,$0.0937,+2.69%,$980.9k,$517.1k,+0.59%,0.00%,0.53,+0.0041%,-0.0244%,$5.7k
198,Boba Network-BOBA,$0.3186,+5.21%,$851.3k,$836.9k,+14.13%,0.00%,0.98,+0.0055%,+0.0050%,$17.9k
199,OpenDAO-SOS,$0.0000,+5.62%,$827.0k,$746.6k,+7.77%,0.00%,0.90,-0.0437%,+0.0113%,$778.8
200,DODO-DODO,$0.1264,+4.72%,$786.9k,$1.1m,+2.22%,0.00%,1.42,+0.0036%,+0.0025%,$151.7
201,Dogelon Mars-ELON,$0.0000,+2.67%,$764.4k,$404.6k,+0.21%,0.00%,0.53,+0.0362%,-0.0199%,$837.0
202,PAX Gold-PAXG,"$1,730.42",+0.76%,$699.4k,$5.9m,+0.24%,0.03%,8.38,+0.0379%,+0.0379%,$3.9k
203,Blockstack-STX,$0.3515,+2.87%,$691.7k,$1.0m,-1.74%,0.00%,1.49,+0.0000%,-0.0013%,$4.5k
204,Kadena-KDA,$1.47,+0.70%,$689.9k,$983.8k,-1.41%,0.00%,1.43,+0.0100%,+0.0100%,$915.3
205,BitShares-BTS,$0.0096,-0.31%,$669.1k,$67.0k,-38.92%,0.00%,0.10,-0.3004%,-0.4851%,$2.3k
206,Astar-ASTR,$0.0354,-0.09%,$654.8k,$800.1k,-4.00%,0.00%,1.22,+0.0434%,-0.0358%,$10.5k
207,Verasity-VRA,$0.0046,+4.75%,$641.9k,$19.0k,+37.50%,0.00%,0.03,+0.0100%,+0.0100%,$0.0
208,TrueFi-TRU,$0.0646,+4.23%,$606.6k,$2.9m,+2.75%,0.01%,4.81,-0.0014%,-0.0005%,$434.8
209,CEEK VR-CEEK,n/a,n/a,$579.7k,$324.0k,-3.72%,0.00%,0.56,+0.0100%,+0.0100%,$5.4k
210,Cream Finance-CREAM,$16.68,+2.98%,$544.3k,$977.5k,+1.18%,0.00%,1.80,+0.0238%,+0.0279%,$192.3
211,Alchemy Pay-ACH,$0.0132,+2.03%,$532.7k,$377.3k,+4.58%,0.00%,0.71,+0.0100%,+0.0100%,$3.1k
212,Akropolis -AKRO,$0.0035,+2.46%,$528.9k,$278.0k,-1.97%,0.00%,0.53,+0.0100%,+0.0100%,$23.2k
213,WAX-WAXP,$0.0909,+1.56%,$528.6k,$192.4k,+1.24%,0.00%,0.36,+0.0100%,+0.0100%,$21.8
214,Alien Worlds-TLM,$0.0240,+1.26%,$520.9k,$1.2m,-1.87%,0.00%,2.23,+0.0029%,+0.0010%,$515.4
215,Bonfida-FIDA,$0.4068,+2.30%,$517.0k,$890.4k,-1.23%,0.00%,1.72,-0.0108%,-0.0038%,$1.4k
216,Green Satoshi Token-GST,$0.0336,-2.32%,$477.4k,$3.7m,-3.74%,0.02%,7.73,+0.0053%,+0.0017%,$3.9k
217,Biswap-BSW,$0.3004,+3.19%,$364.7k,$1.0m,+2.22%,0.00%,2.78,-0.0058%,-0.0058%,$12.8k
218,Illuvium-ILV,$74.20,+1.09%,$360.5k,$750.4k,-7.20%,0.00%,2.08,-0.0176%,-0.0176%,$34.0k
219,Ampleforth-AMPL,$0.9647,+1.68%,$343.8k,$825.9k,+2.60%,0.00%,2.40,+0.0217%,+0.0196%,$7.4k
220,UNUS SED LEO-LEO,$5.14,+0.30%,$338.5k,$603.5k,-7.96%,0.00%,1.78,+0.0123%,+0.0132%,$35.8
221,Star Atlas-ATLAS,$0.0056,+0.94%,$337.6k,$757.0k,-0.65%,0.00%,2.24,+0.0033%,+0.0011%,$63.8
222,Nano-XNO,$0.8850,+4.49%,$329.0k,$180.7k,-5.39%,0.00%,0.55,+0.0100%,+0.0100%,$1.8k
223,BitTorrent-BTT,$0.0000,+1.80%,$327.9k,$604.2k,+1.39%,0.00%,1.84,+0.0224%,-0.0588%,$343.6
224,Pundi X-PUNDIX,$0.4935,+3.65%,$311.4k,$949.3k,+2.31%,0.00%,3.05,-0.0211%,-0.0318%,$2.3k
225,WINk-WIN,$0.0001,+3.11%,$257.9k,$78.7k,+3.29%,0.00%,0.30,+0.0100%,+0.0100%,$0.0
226,Dawn Protocol-DAWN,$0.8265,+6.10%,$248.3k,$119.8k,-0.61%,0.00%,0.48,-0.0021%,+0.0000%,$0.0
227,Dragon Index FTX-DRGN,"$1,495.80",+3.57%,$205.4k,$693.1k,+4.31%,0.00%,3.37,-0.0065%,-0.0057%,$0.0
228,eCash-XEC,$0.0000,+1.88%,$181.1k,$86.3k,-15.76%,0.00%,0.48,+0.0100%,+0.0100%,$263.7
229,Prometeus-PROM,$5.77,+4.91%,$180.9k,$588.1k,+9.39%,0.00%,3.25,-0.0177%,-0.0251%,$622.1
230,Tether Gold-XAUT,"$1,715.77",+1.05%,$168.4k,$1.7m,-1.70%,0.01%,10.36,+0.0027%,+0.0046%,$34.0
231,Privacy Index FTX-PRIV,$997.30,+3.08%,$140.2k,$1.7m,+2.68%,0.01%,11.94,+0.0051%,+0.0043%,$0.0
232,MobileCoin-MOB,$0.9745,+1.99%,$134.4k,$362.5k,+5.77%,0.00%,2.70,-0.0032%,-0.0018%,$45.6
233,USD Coin-USDC,$1.0000,+0.02%,$121.2k,$1.2m,+2.21%,0.01%,9.89,+0.0000%,+0.0000%,$0.0
234,Alchemix-ALCX,$22.75,+4.91%,$115.1k,$512.2k,+4.73%,0.00%,4.45,-0.0184%,-0.0142%,$513.5
235,Uniswap Index FTX-UNISWAP,"$16,375.00",+2.99%,$103.9k,$1.3m,+46.48%,0.01%,12.92,-0.0007%,-0.0003%,$1.4k
